"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC0800010990.hg.1","CA1",4.06606193947835,7.38252847323334,5.44983005988655,9.22809965592043e-05,0.175241612465929,-3.37772697565705
"TC1900010765.hg.1","CEACAM7",2.90914856010482,9.35215617228279,4.05883406213832,0.00122182179060731,0.996929427858641,-3.67356732825308
"TC0600009327.hg.1","PKIB",1.8383511042657,5.79236948091384,3.27233048097231,0.00569836026850034,0.996929427858641,-3.89495059401243
"TC0200016511.hg.1","IL1RN",1.82669199588183,6.68302920654165,3.18580272208005,0.00675784349774184,0.996929427858641,-3.92164143214004
"TC0400006994.hg.1","NCAPG",-1.70657097908011,8.36152105520825,-3.15298915242423,0.00720915492548807,0.996929427858641,-3.93187269520357
"TC1100007772.hg.1","MS4A12",2.1830871720242,8.00156789891611,3.11579796152011,0.00775703765397603,0.996929427858641,-3.9435395228085
"TC1200010650.hg.1","RACGAP1",-1.61067105745064,9.38418165663908,-3.0796226704706,0.00832961037518181,0.996929427858641,-3.95495806541527
"TC0500006472.hg.1","TRIP13",-1.63411061692443,7.59998617998501,-3.02803873321063,0.00921928126364478,0.996929427858641,-3.97135693433684
"TC0X00010341.hg.1","XKRX",-1.47541031872534,6.92381152574394,-2.90312929562446,0.011781778934934,0.996929427858641,-4.01160328213936
"TC2200008610.hg.1","FOXRED2",-1.47785009263082,6.55429112698687,-2.89201375574574,0.0120412493027086,0.996929427858641,-4.01521950864703
"TC0500010553.hg.1","FYB",1.74042449080586,6.76428492117586,2.87182098234791,0.0125270630580477,0.996929427858641,-4.02180259317714
"TC1200008597.hg.1","GAS2L3",-1.53722331407313,7.45647082026072,-2.82181294341624,0.013814577772116,0.996929427858641,-4.03817978077863
"TC0800010949.hg.1","SNX16",-1.3317462990562,6.0523372546988,-2.807586204432,0.0142039866086425,0.996929427858641,-4.04285749362547
"TC1500007409.hg.1","GCNT3",1.82350536062873,8.57868035714418,2.784360088813,0.0148629304830287,0.996929427858641,-4.05051117711296
"TC1700010640.hg.1","KRT20",1.4786170053066,9.03416217114252,2.77794083555716,0.0150502632202295,0.996929427858641,-4.05263014974265
"TC0600008630.hg.1","TTK",-1.51197384981473,6.73063420205139,-2.76405433134762,0.0154634421273015,0.996929427858641,-4.057219313913
"TC0300009524.hg.1","ECT2",-1.56228510867823,7.965469260626,-2.76304985112882,0.0154937554858126,0.996929427858641,-4.05755154801794
"TC0500008777.hg.1","KIF20A",-1.63303529496396,7.81140793326835,-2.73837584445206,0.0162568533804212,0.996929427858641,-4.06572401696152
"TC0700011969.hg.1","MCM7",-1.788938425587,8.31469586399685,-2.71730412088768,0.0169374610047396,0.996929427858641,-4.07272037021493
"TC0100010397.hg.1","NUF2",-1.53615019734584,6.23945965814177,-2.67059334000116,0.0185465779336782,0.996929427858641,-4.08828246193051
"TC0100008924.hg.1","CLCA4",1.87591106369457,6.09559327340126,2.66835122834316,0.0186274420183295,0.996929427858641,-4.08903119344629
"TC1000007748.hg.1","CDK1",-1.55744148674353,8.02062692219861,-2.66329822329418,0.0188109411052208,0.996929427858641,-4.09071916288717
"TC0500010639.hg.1","CCL28",1.50766743804508,8.31055835249508,2.63712148257062,0.0197899821307876,0.996929427858641,-4.09947584799021
"TC2000009964.hg.1","SDCBP2",1.54091932503903,8.93750705433801,2.6114781265764,0.0207968679113584,0.996929427858641,-4.10807320967328
"TC0300008284.hg.1","HHLA2",1.62909464363082,7.81693456156813,2.60115341207877,0.0212161159186643,0.996929427858641,-4.11153981619097
"TC1200010182.hg.1","BHLHE41",1.46042079266043,6.50822022979578,2.60027003733101,0.0212523636360937,0.996929427858641,-4.11183654743789
"TC0500007778.hg.1","UTP15",-1.27303825268593,5.81244812835318,-2.59267210746408,0.02156661296041,0.996929427858641,-4.11438957924354
"TC0700012221.hg.1","SLC26A3",2.417330438429,8.91369917222534,2.58574144889665,0.02185717668728,0.996929427858641,-4.11671968826863
"TC0100012062.hg.1","TBCE",-1.26438446466625,6.6466819829219,-2.57649329175002,0.0222507945815045,0.996929427858641,-4.11983082403049
"TC0800011472.hg.1","NUDCD1",-1.36871883285108,8.33990070762104,-2.53090102553981,0.0242933630111666,0.996929427858641,-4.13519780393514
"TC0100014210.hg.1","COA7",-1.45187109337511,7.81801439352028,-2.52300901403065,0.0246647944574681,0.996929427858641,-4.13786246917512
"TC1000011740.hg.1","COL17A1",1.79232987234555,9.41628572628426,2.51418959099487,0.0250863354094833,0.996929427858641,-4.14084177130502
"TC2000009016.hg.1","DSN1",-1.33988776127006,8.47957000073502,-2.50162971748108,0.0256986277770958,0.996929427858641,-4.14508728028262
"TC0X00007537.hg.1","KIF4A",-1.29652482886379,6.82318407985688,-2.47342407999846,0.0271263628432418,0.996929427858641,-4.15463194903694
"TC1500010715.hg.1","BUB1B",-1.26609509627509,7.44957858660322,-2.44778890100078,0.0284896700269447,0.996929427858641,-4.16331822257937
"TC1200009209.hg.1","KNTC1",-1.20886114458449,7.08680613196053,-2.4445209413322,0.0286681041681075,0.996929427858641,-4.16442625330134
"TC0100008182.hg.1","CYP4X1",-1.85273664199509,6.11128280760476,-2.43209032811844,0.0293566387738146,0.996929427858641,-4.16864231551947
"TC0600008127.hg.1","SLC29A1",-1.27288516233555,7.48377155361071,-2.42826364458118,0.0295717610214541,0.996929427858641,-4.1699406169817
"TC1000012477.hg.1","HELLS",-1.36544831138022,6.86412434991383,-2.42363113105766,0.0298341985686502,0.996929427858641,-4.17151256638378
"TC0X00009493.hg.1","EFHC2",1.49549755977583,5.58394984843442,2.42279942751234,0.0298815504114813,0.996929427858641,-4.17179481639993
"TSUnmapped00000627.hg.1","KIF15",-1.55711931430418,6.85993968327287,-2.42136179799353,0.0299635689918635,0.996929427858641,-4.1722827157123
"TC1900009630.hg.1","KEAP1",-1.27285105923809,7.4466032472685,-2.41459159014815,0.0303527145214384,0.996929427858641,-4.17458070631191
"TC0400012251.hg.1","C4orf46",-1.4219062087535,8.41362256654212,-2.41109518921555,0.0305555677930759,0.996929427858641,-4.17576768817455
"TC0500010615.hg.1","SEPP1",1.67910933267177,8.79516607252368,2.40617849012299,0.0308430118963524,0.996929427858641,-4.17743707467958
"TC0400011348.hg.1","HPGDS",1.71966115553776,5.23104607037684,2.40411345595502,0.0309645067628619,0.996929427858641,-4.17813830273664
"TC1400009242.hg.1","WDHD1",-1.31690422721382,6.72735667033487,-2.39157549294361,0.0317120162623088,0.996929427858641,-4.18239679359483
"TC0500012568.hg.1","GEMIN5",-1.24898662401518,6.52978936340853,-2.38873974701386,0.0318834497286733,0.996929427858641,-4.18336016290903
"TSUnmapped00000127.hg.1","KIF15",-1.4141782895389,6.89204214114935,-2.38504659919703,0.0321080398885113,0.996929427858641,-4.18461492365903
"TC1400009248.hg.1","DLGAP5",-1.39264916765835,8.58568020476077,-2.37441546349225,0.0327629813151546,0.996929427858641,-4.18822755988674
"TC1100012984.hg.1","NAT10",-1.37400184988783,8.51432800126609,-2.36450450796989,0.0333849803442932,0.996929427858641,-4.19159628672329
"TC0200014404.hg.1","MCM6",-1.38256352509225,7.8706513709988,-2.34596789339402,0.0345785406613716,0.996929427858641,-4.19789868198061
"TC0100017216.hg.1","NEK2",-1.27384997098241,7.47024434265676,-2.33160733800417,0.035530919296753,0.996929427858641,-4.20278254502527
"TC1700010763.hg.1","BRCA1",-1.19701969131046,5.51031778552098,-2.30266857880603,0.0375260939386833,0.996929427858641,-4.21262657967754
"TC0500008544.hg.1","LMNB1",-1.20528405457691,6.37820335722738,-2.29981597311741,0.0377284021048759,0.996929427858641,-4.21359704414363
"TC1400008583.hg.1","CCNB1IP1",-1.13268370967321,6.32145190227387,-2.29794692471609,0.0378615142214847,0.996929427858641,-4.21423290464684
"TC1500008328.hg.1","BLM",-1.42475078691722,7.57411782461752,-2.29520621751768,0.0380575076134545,0.996929427858641,-4.21516531387696
"TC2000009516.hg.1","BCAS1",1.3123225106788,8.60811200903476,2.2915328296502,0.0383217019043015,0.996929427858641,-4.21641503545795
"TC0300009724.hg.1","VPS8",-1.20679332837766,6.31483082743107,-2.27838188960477,0.0392817939078534,0.996929427858641,-4.22088910990842
"TC1200010105.hg.1","RECQL",-1.18198619679953,5.14774628313573,-2.26973908083417,0.0399250719124776,0.996929427858641,-4.22382939678843
"TC0200006677.hg.1","RRM2",-1.30784662221763,7.42718185615617,-2.26553009543435,0.0402419258105601,0.996929427858641,-4.22526124967811
"TC0200016581.hg.1","C2orf88",1.29835112278123,7.72083330366248,2.26151598647922,0.0405463145931359,0.996929427858641,-4.22662677066651
"TC2000009216.hg.1","SLPI",1.43653869408503,8.26698540837196,2.25939397411739,0.0407081008331618,0.996929427858641,-4.22734862076442
"TC0200009905.hg.1","DHRS9",1.18154201527442,5.73907794588647,2.25174591782588,0.0412962584681215,0.996929427858641,-4.22995016509319
"TC0400011005.hg.1","RASSF6",1.14472971262464,6.94229784010665,2.24861560181677,0.0415392868692003,0.996929427858641,-4.2310149072955
"TC1100013111.hg.1","CHEK1",-1.38599272649254,9.48221719942393,-2.24580266683934,0.0417588215013092,0.996929427858641,-4.23197166307471
"TC0800007065.hg.1","CDCA2",-1.23871709782222,7.30702088832307,-2.24085685533476,0.0421474628969786,0.996929427858641,-4.23365378595958
"TC1200011870.hg.1","KCTD10",-1.24175148303408,8.02276084545463,-2.23801543365909,0.0423722763061348,0.996929427858641,-4.23462013218339
"TC1500008252.hg.1","FANCI",-1.21908985269698,6.04601634718229,-2.23657850778093,0.0424863944007199,0.996929427858641,-4.23510880467525
"TC1100008398.hg.1","PAAF1",-1.19509109916564,6.79863736340997,-2.2340544853413,0.0426875469892656,0.996929427858641,-4.23596715311482
"TC2000007016.hg.1","GINS1",-1.23005976891848,8.75146057599967,-2.21883000955152,0.0439199520179903,0.996929427858641,-4.24114377680841
"TC0700013290.hg.1","NCAPG2",-1.23658898704245,6.62646032017726,-2.21530229586738,0.0442102408536321,0.996929427858641,-4.24234305232028
"TC1200010917.hg.1","TIMELESS",-1.09840144706102,5.60942394428499,-2.21223596224539,0.044464023793173,0.996929427858641,-4.2433854039324
"TC1100010418.hg.1","KIF18A",-1.26043011879007,7.18243089713654,-2.20767164231434,0.044844316141471,0.996929427858641,-4.2449368382603
"TC1200008176.hg.1","LGR5",-1.57869184083519,7.64730486346673,-2.19357490658806,0.0460381548053209,0.996929427858641,-4.24972727520397
"TC0600007700.hg.1","KIFC1",-1.18137980145485,7.29638029549313,-2.19353554951349,0.0460415291678382,0.996929427858641,-4.24974064722844
"TC1200008606.hg.1","UTP20",-1.22567104222052,8.44173344566143,-2.19314175335839,0.0460753048596882,0.996929427858641,-4.24987444323909
"TC0300012164.hg.1","POLQ",-1.10175667023173,6.06024597705315,-2.19116048039535,0.0462455895254162,0.996929427858641,-4.25054757687321
"TC2000009956.hg.1","PCMTD2",-1.2077734167883,8.5365837116519,-2.18898752855836,0.0464330250714954,0.996929427858641,-4.25128578855948
"TC2000007923.hg.1","NELFCD",-1.11086149065466,6.96036483943984,-2.18814063576041,0.0465062689556512,0.996929427858641,-4.25157348858247
"TC1300008267.hg.1","XPO4",-1.14307484387891,7.28157002652826,-2.17073953119259,0.0480353212170447,0.996929427858641,-4.2574831536384
"TC0X00008514.hg.1","DDX26B",1.30043905187591,7.21312160162205,2.16555973008168,0.0484994621644131,0.996929427858641,-4.25924161121469
"TC1500007109.hg.1","DUOXA2",2.07620791734687,7.6586357594159,2.16082253565571,0.0489276022737401,0.996929427858641,-4.26084951615332
"TC0400007054.hg.1","GBA3",1.49676022314647,6.27384100868893,2.15042564768572,0.0498796382819992,0.996929427858641,-4.26437739669432
